코드,명칭,주소,전화번호,영업시간,재고량
A0013146,현풍(마산방향),대구 달성군 현풍읍 성하길 48,053-614-2437,매일 24시간,1300
A0010223,언양(서울방향),울산 울주군 언양읍 경부고속도로 44,052-263-6146,매일 24시간,4496
A0033516,울주(울산방향),울산 울주군 삼동면 보은리 산213-15,052-977-2243,매일 24시간,3024
A0033517,울주(함양방향),울산 울주군 삼동면 보은리 산192-3,052-977-3243,매일 24시간,2571
A0033432,구리(일산방향),경기도 구리시 수도권 제1순환도로 32,031-555-0740,매일 24시간,112
A0003399,안성(서울방향),경기도 안성시 원곡면 경부고속도로 372,031-664-4096,매일 24시간,4200
A0004088,이천(통영방향),경기도 이천시 마장면 중부대로609번길 244-35,031-637-0401,매일 24시간,138
A0033485,평택(제천방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8087,매일 24시간,2380
A0033482,평택(평택방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8085,매일 24시간,1950
A0002561,화성(목포방향),경기도 화성시 팔탄면 서해안고속도로 301,031-353-8015,매일 24시간,1150
A0009013,송산포도(시흥방향),경기도 화성시 송산면 평택시흥고속도로 25,031-357-8192,매일 24시간,650
A0009012,송산포도(평택방향),경기도 화성시 송산면 평택시흥고속도로 25,031-357-8194,매일 24시간,7500
A0010209,안성맞춤(제천방향),경기도 안성시 서운면 평택제천고속도로 40,031-674-4406,매일 24시간,74
A0012447,옥산(부산방향),충북 청주시 흥덕구 옥산면 경부고속도로 309,043-269-0843,매일 24시간,173
A0012713,옥천(서울방향),충북 옥천군 옥천읍 옥천동이로 242-34,043-733-9924,매일 24시간,3250
A0012719,옥천만남의광장,충북 옥천군 옥천읍 중앙로 137,043-732-0081,매일 24시간,4273
A0017406,죽암(서울방향),충북 청주시 서원구 현도면 경부고속도로 290,043-260-5341,매일 24시간,142
A0012711,황간(부산방향),충북 영동군 황간면 회포길 102,043-742-5853,매일 24시간,63
A0012712,황간(서울방향),충북 영동군 황간면 회포1길 65 ,043-742-1266,매일 24시간,2665
