date,name,point
2017-12-01,뷰티풀 투모로우,9.36
2017-12-01,아이 캔 스피크,9.34
2017-12-01,다시 태어나도 우리,9.32
2017-12-01,록키,9.31
2017-12-01,저수지 게임,9.29
2017-12-01,땐뽀걸즈,9.25
2017-12-01,"나, 다니엘 블레이크",9.22
2017-12-01,러빙 빈센트,9.21
2017-12-01,스쿨 오브 락,9.21
2017-12-01,킹 오브 프리즘 프라이드 더 히어로,9.19
2017-12-01,내 사랑,9.18
2017-12-01,범죄도시,9.17
2017-12-01,공범자들,9.16
2017-12-01,댄서,9.13
2017-12-01,히트,9.11
2017-12-01,이프 온리,9.08
2017-12-01,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.08
2017-12-01,채비,9.04
2017-12-01,"조제, 호랑이 그리고 물고기들",9.01
2017-12-01,원스,8.99
2017-12-01,빅풋 주니어,8.92
2017-12-01,매디슨 카운티의 다리,8.91
2017-12-01,행복을 찾아서,8.9
2017-12-01,10분,8.89
2017-12-01,여배우는 오늘도,8.88
2017-12-01,벤자민 버튼의 시간은 거꾸로 간다,8.87
2017-12-01,토르: 라그나로크,8.87
2017-12-01,넛잡 2,8.83
2017-12-01,순정,8.77
2017-12-01,김광석,8.77
2017-12-01,행복한 사전,8.67
2017-12-01,오리엔트 특급 살인,8.66
2017-12-01,배드 지니어스,8.59
2017-12-01,문영,8.55
2017-12-01,반드시 잡는다,8.5
2017-12-01,오두막,8.49
2017-12-01,기억의 밤,8.49
2017-12-01,해피 데스데이,8.37
2017-12-01,딥,8.16
2017-12-01,더 테이블,8.07
2017-12-01,블레이드 러너 2049,8.02
2017-12-01,잠깐만 회사 좀 관두고 올게,8.02
2017-12-01,너의 췌장을 먹고 싶어,7.98
2017-12-01,메소드,7.98
2017-12-01,저스티스 리그,7.96
2017-12-01,프랭크,7.95
2017-12-01,꾼,7.92
2017-12-01,최악의 하루,7.88
2017-12-01,침묵,7.74
2017-12-01,부라더,7.51
2017-12-02,뷰티풀 투모로우,9.36
2017-12-02,아이 캔 스피크,9.34
2017-12-02,다시 태어나도 우리,9.32
2017-12-02,록키,9.31
2017-12-02,저수지 게임,9.29
2017-12-02,땐뽀걸즈,9.25
2017-12-02,"나, 다니엘 블레이크",9.22
2017-12-02,러빙 빈센트,9.21
2017-12-02,스쿨 오브 락,9.21
2017-12-02,킹 오브 프리즘 프라이드 더 히어로,9.19
2017-12-02,내 사랑,9.18
2017-12-02,범죄도시,9.17
2017-12-02,공범자들,9.16
2017-12-02,댄서,9.13
2017-12-02,히트,9.11
2017-12-02,이프 온리,9.09
2017-12-02,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.08
2017-12-02,"조제, 호랑이 그리고 물고기들",9.01
2017-12-02,채비,8.99
2017-12-02,원스,8.99
2017-12-02,빅풋 주니어,8.92
2017-12-02,매디슨 카운티의 다리,8.91
2017-12-02,행복을 찾아서,8.9
2017-12-02,10분,8.89
2017-12-02,여배우는 오늘도,8.88
2017-12-02,벤자민 버튼의 시간은 거꾸로 간다,8.87
2017-12-02,토르: 라그나로크,8.87
2017-12-02,넛잡 2,8.83
2017-12-02,순정,8.77
2017-12-02,김광석,8.77
2017-12-02,행복한 사전,8.67
2017-12-02,배드 지니어스,8.62
2017-12-02,반드시 잡는다,8.55
2017-12-02,문영,8.55
2017-12-02,오리엔트 특급 살인,8.55
2017-12-02,오두막,8.49
2017-12-02,기억의 밤,8.41
2017-12-02,해피 데스데이,8.36
2017-12-02,딥,8.16
2017-12-02,블레이드 러너 2049,8.03
